Field                         Max EVI               Date of Max NDVI          Area under curve
GauluniaRE                    0.857431                  113.86                  75.717484
GauluniaCV_P1                 0.621417                  95.06                  61.091536
luniaCVW                      0.780497                  98.80                  70.452630
auluniaNgP2                   0.699024                  95.33                  62.055468
auluniaNdk1                   0.686372                  99.64                  63.486727
uluniaNdk2                    0.784011                  113.58                  71.980515
uluniaDF1                     18.235030                  81.39                  374.157068
uluniaCVD                     0.843791                  108.79                  73.798778
/GauluniaCVD_P2               0.823904                  104.49                  69.931972
auluniaNdk2                   0.800979                  120.18                  71.247300
Chartonel_P2                  0.753499                  84.71                  69.832479
Chartonel_P5                  0.828474                  81.45                  72.580171
Chartonel_P3                  0.680453                  93.84                  57.361839
Chartonel_P3                  0.708828                  94.32                  56.665519
/Chartonel_P14                0.662441                  107.92                  55.278290
SyngentaP3                    0.500449                  94.92                  64.616301
Syngenta_P6BB                 0.510100                  100.37                  51.107988
/Syngenta_P10                 0.462258                  109.18                  53.251016
/Syngenta_P17                 0.379501                  135.58                  50.470606
/SyngentaP12                  0.740338                  124.31                  71.854485
/Syngentap17                  0.565286                  136.05                  58.720611
2/GauluniaNgP2                0.681116                  97.40                  63.063119
