Field                         Max EVI                Date of Max EVI          Area under curve
GauluniaRE                    0.840631                  113.00                  74.388646
GauluniaCV_P1                 0.636415                  95.00                  61.695513
luniaCVW                      0.695805                  108.00                  69.709144
auluniaNgP2                   0.727944                  103.00                  64.656437
auluniaNdk1                   0.740456                  106.00                  64.532242
uluniaNdk2                    0.782807                  96.00                  71.837789
uluniaDF1                     3.575449                  85.00                  91.375667
uluniaCVD                     0.821044                  102.00                  73.533086
/GauluniaCVD_P2               0.816862                  102.00                  69.417599
auluniaNdk2                   0.814459                  103.00                  71.581316
Chartonel_P2                  0.740253                  89.00                  69.682181
Chartonel_P5                  0.831088                  86.00                  73.221614
Chartonel_P3                  0.671834                  93.00                  57.038263
Chartonel_P3                  0.662721                  94.00                  56.830947
/Chartonel_P14                0.529494                  111.00                  54.197977
SyngentaP3                    0.543197                  88.00                  64.434921
Syngenta_P6BB                 0.505957                  100.00                  50.810909
/Syngenta_P10                 0.445672                  113.00                  52.712632
/Syngenta_P17                 0.380127                  125.00                  50.623064
/SyngentaP12                  0.703430                  117.00                  72.264484
/Syngentap17                  0.471314                  132.00                  59.567788
2/GauluniaNgP2                0.755945                  103.00                  65.499100
